# Volna output at location (x, y) = (1, 1)
# Time Height Velocity_x Velocity_y Bathymetry
0 1.18903 0 0 -1
0.0151685 1.19051 0.0390026 0.0828213 -1
0.0447085 1.20304 0.156251 0.195778 -1
0.0735244 1.21825 0.252675 0.295784 -1
0.101924 1.23575 0.343544 0.391076 -1
0.130183 1.25106 0.424586 0.47608 -1
0.158611 1.2606 0.490965 0.544362 -1
0.187494 1.2613 0.538101 0.589941 -1
0.216905 1.25193 0.56345 0.610302 -1
0.246372 1.23371 0.56773 0.607257 -1
0.276037 1.20904 0.554674 0.585984 -1
0.306073 1.18046 0.528485 0.551826 -1
0.33641 1.15025 0.493184 0.509463 -1
0.366747 1.12038 0.452541 0.462883 -1
0.397084 1.0919 0.409223 0.414633 -1
0.427421 1.06541 0.365107 0.366442 -1
0.457758 1.04122 0.321478 0.319472 -1
0.488095 1.01942 0.279206 0.274479 -1
0.518432 0.99999 0.238861 0.231938 -1
0.548769 0.982855 0.200812 0.192135 -1
0.578874 0.967998 0.165546 0.1555 -1
0.608665 0.955268 0.133204 0.122121 -1
0.638297 0.944413 0.103595 0.0917541 -1
0.667891 0.935234 0.0765601 0.0642091 -1
0.69755 0.927571 0.0519705 0.0393384 -1
0.727356 0.921296 0.0297263 0.017029 -1
0.757355 0.916301 0.00976892 -0.00278766 -1
0.787606 0.91249 -0.00796266 -0.0201832 -1
0.817931 0.909795 -0.0234053 -0.0351108 -1
0.84825 0.908123 -0.0365976 -0.0476314 -1
0.878483 0.907377 -0.0476128 -0.057845 -1
0.90865 0.907455 -0.0565843 -0.0659124 -1
0.938836 0.908267 -0.0636637 -0.0720111 -1
0.969067 0.90973 -0.0689837 -0.0763013 -1
0.999245 0.911756 -0.0726699 -0.0789399 -1
1.02935 0.914257 -0.0748816 -0.0801142 -1
1.05934 0.917145 -0.0757885 -0.0800191 -1
1.08919 0.920332 -0.075568 -0.0788551 -1
1.11886 0.923733 -0.0744023 -0.0768227 -1
1.14829 0.927267 -0.0724718 -0.0741153 -1
1.17746 0.930863 -0.0699498 -0.0709134 -1
1.20632 0.934457 -0.066996 -0.0673781 -1
1.23488 0.937998 -0.0637509 -0.0636469 -1
1.26314 0.941447 -0.0603334 -0.0598325 -1
1.29112 0.944775 -0.0568396 -0.0560233 -1
1.31885 0.947963 -0.0533453 -0.0522858 -1
1.34639 0.950999 -0.0499077 -0.0486678 -1
1.37376 0.953877 -0.0465693 -0.0452025 -1
1.40102 0.956595 -0.0433607 -0.0419117 -1
1.42821 0.959152 -0.0403027 -0.0388084 -1
1.45536 0.961552 -0.0374088 -0.0358991 -1
1.4825 0.963799 -0.0346866 -0.0331857 -1
1.50966 0.965899 -0.03214 -0.0306671 -1
1.53683 0.967858 -0.0297707 -0.0283418 -1
1.56404 0.969684 -0.0275763 -0.0262049 -1
1.59129 0.971389 -0.0255531 -0.0242519 -1
1.61861 0.972985 -0.0236976 -0.0224795 -1
1.64601 0.974485 -0.0220072 -0.0208868 -1
1.6735 0.975906 -0.0204821 -0.019477 -1
1.70109 0.977267 -0.0191257 -0.0182582 -1
1.72878 0.978592 -0.0179467 -0.0172453 -1
1.75659 0.979909 -0.0169604 -0.0164619 -1
1.78447 0.981249 -0.0161911 -0.0159417 -1
1.81245 0.982653 -0.0156712 -0.0157289 -1
1.84053 0.984172 -0.0154454 -0.015881 -1
1.86873 0.98586 -0.0155713 -0.0164689 -1
1.89685 0.98777 -0.0161162 -0.0175686 -1
1.92481 0.98996 -0.0171506 -0.0192558 -1
1.95261 0.992496 -0.0187516 -0.0216088 -1
1.98028 0.995439 -0.0209985 -0.0247007 -1
2.00782 0.998847 -0.0239681 -0.0285925 -1
2.03525 1.00276 -0.0277269 -0.0333245 -1
2.0626 1.00722 -0.032323 -0.0389079 -1
2.08988 1.01221 -0.0377773 -0.0453171 -1
2.11712 1.01773 -0.0440745 -0.0524839 -1
2.14434 1.02373 -0.0511548 -0.0602935 -1
2.17156 1.03011 -0.0589099 -0.0685858 -1
2.19881 1.03679 -0.0671816 -0.0771601 -1
2.22609 1.04363 -0.0757637 -0.0857817 -1
2.25343 1.05049 -0.084411 -0.0941939 -1
2.28085 1.05723 -0.092851 -0.102132 -1
2.30836 1.06371 -0.100797 -0.109333 -1
2.33597 1.06979 -0.107964 -0.115552 -1
2.36371 1.0754 -0.11408 -0.120565 -1
2.39157 1.08045 -0.118901 -0.124181 -1
2.41958 1.08491 -0.122218 -0.126243 -1
2.44774 1.08878 -0.123865 -0.12663 -1
2.47605 1.09208 -0.123717 -0.125257 -1
2.50453 1.09488 -0.121696 -0.122075 -1
2.53318 1.09724 -0.117769 -0.117069 -1
2.562 1.09924 -0.111948 -0.110262 -1
2.59099 1.10096 -0.104291 -0.101713 -1
2.62016 1.10248 -0.0949036 -0.0915231 -1
2.64951 1.10384 -0.0839368 -0.0798367 -1
2.67903 1.10508 -0.0715898 -0.0668446 -1
2.70873 1.1062 -0.0581065 -0.0527845 -1
2.73859 1.10717 -0.0437712 -0.0379375 -1
2.76863 1.10794 -0.0289007 -0.02262 -1
2.79882 1.10845 -0.0138318 -0.00717197 -1
2.82918 1.10861 0.00109227 0.00805867 -1
2.85965 1.10836 0.0155233 0.0227178 -1
2.89013 1.10762 0.0291092 0.0364488 -1
2.92064 1.10635 0.0416105 0.0490108 -1
2.95121 1.10453 0.0528391 0.0602168 -1
2.98185 1.10215 0.0626518 0.069927 -1
3.01259 1.09923 0.0709571 0.0780549 -1
